yr,r,g,units,value
1997,ak,adm,billions of us dollars (USD),0.334339
1997,ak,agr,billions of us dollars (USD),0.288928
1997,ak,air,billions of us dollars (USD),0.589804
1997,ak,alt,billions of us dollars (USD),0.742419
1997,ak,amb,billions of us dollars (USD),0.159454
1997,ak,amd,billions of us dollars (USD),0.015406
1997,ak,art,billions of us dollars (USD),0.015406
1997,ak,bnk,billions of us dollars (USD),0.226689
1997,ak,brd,billions of us dollars (USD),0.334339
1997,ak,cep,billions of us dollars (USD),1.366745
1997,ak,che,billions of us dollars (USD),1.366745
1997,ak,com,billions of us dollars (USD),0.334339
1997,ak,con,billions of us dollars (USD),0.589804
1997,ak,dat,billions of us dollars (USD),0.334339
1997,ak,edu,billions of us dollars (USD),1.198832
1997,ak,eec,billions of us dollars (USD),1.366745
1997,ak,fdd,billions of us dollars (USD),0.56721
1997,ak,fen,billions of us dollars (USD),0.56721
1997,ak,fin,billions of us dollars (USD),0.226689
1997,ak,fmt,billions of us dollars (USD),1.366745
1997,ak,fnd,billions of us dollars (USD),0.56721
1997,ak,fof,billions of us dollars (USD),0.015406
1997,ak,fpd,billions of us dollars (USD),1.366745
1997,ak,gmt,billions of us dollars (USD),1.366745
1997,ak,grd,billions of us dollars (USD),0.589804
1997,ak,hos,billions of us dollars (USD),0.02822
1997,ak,hou,billions of us dollars (USD),0.334339
1997,ak,ins,billions of us dollars (USD),0.226689
1997,ak,leg,billions of us dollars (USD),0.334339
1997,ak,man,billions of us dollars (USD),0.334339
1997,ak,mch,billions of us dollars (USD),1.366745
1997,ak,min,billions of us dollars (USD),0.288928
1997,ak,mmf,billions of us dollars (USD),1.366745
1997,ak,mot,billions of us dollars (USD),1.366745
1997,ak,mov,billions of us dollars (USD),0.334339
1997,ak,mvt,billions of us dollars (USD),1.366745
1997,ak,nmp,billions of us dollars (USD),1.366745
1997,ak,nrs,billions of us dollars (USD),0.159454
1997,ak,oil,billions of us dollars (USD),0.288928
