yr,r,g,units,value
1997,ak,adm,billions of us dollars (USD),1.2254
1997,ak,agr,billions of us dollars (USD),1.4632
1997,ak,air,billions of us dollars (USD),0.4527
1997,ak,alt,billions of us dollars (USD),0.5135
1997,ak,amb,billions of us dollars (USD),1.719
1997,ak,amd,billions of us dollars (USD),0.39
1997,ak,art,billions of us dollars (USD),0.39
1997,ak,bnk,billions of us dollars (USD),1.0228
1997,ak,brd,billions of us dollars (USD),1.2254
1997,ak,cep,billions of us dollars (USD),0.524
1997,ak,che,billions of us dollars (USD),0.226
1997,ak,com,billions of us dollars (USD),1.2254
1997,ak,con,billions of us dollars (USD),0.226
1997,ak,dat,billions of us dollars (USD),1.2254
1997,ak,edu,billions of us dollars (USD),8.2478
1997,ak,eec,billions of us dollars (USD),0.524
1997,ak,fbp,billions of us dollars (USD),1.4632
1997,ak,fbt,billions of us dollars (USD),1.4632
1997,ak,fdd,billions of us dollars (USD),1.396
1997,ak,fen,billions of us dollars (USD),1.396
1997,ak,fin,billions of us dollars (USD),1.0228
1997,ak,fmt,billions of us dollars (USD),0.226
1997,ak,fnd,billions of us dollars (USD),1.396
1997,ak,fof,billions of us dollars (USD),0.524
1997,ak,fpd,billions of us dollars (USD),0.3615
1997,ak,gmt,billions of us dollars (USD),0.9921
1997,ak,grd,billions of us dollars (USD),0.4527
1997,ak,hos,billions of us dollars (USD),1.719
1997,ak,hou,billions of us dollars (USD),2.3488
1997,ak,ins,billions of us dollars (USD),1.0228
1997,ak,leg,billions of us dollars (USD),1.2254
1997,ak,man,billions of us dollars (USD),1.2254
1997,ak,mch,billions of us dollars (USD),0.226
1997,ak,min,billions of us dollars (USD),0.4665
1997,ak,mmf,billions of us dollars (USD),0.226
1997,ak,mot,billions of us dollars (USD),0.5737
1997,ak,mov,billions of us dollars (USD),1.2254
1997,ak,mvt,billions of us dollars (USD),0.5737
1997,ak,nmp,billions of us dollars (USD),0.226
1997,ak,nrs,billions of us dollars (USD),1.719
1997,ak,oil,billions of us dollars (USD),0.4665
1997,ak,ore,billions of us dollars (USD),2.3488
1997,ak,osv,billions of us dollars (USD),1.2254
1997,ak,ote,billions of us dollars (USD),0.5737
1997,ak,oth,billions of us dollars (USD),1.396
1997,ak,otr,billions of us dollars (USD),0.4527
1997,ak,ott,billions of us dollars (USD),0.9921
1997,ak,pet,billions of us dollars (USD),0.226
1997,ak,pip,billions of us dollars (USD),0.4527
1997,ak,pla,billions of us dollars (USD),0.226
1997,ak,pmt,billions of us dollars (USD),0.226
1997,ak,ppd,billions of us dollars (USD),0.226
1997,ak,pri,billions of us dollars (USD),0.226
