yr,g,s,units,value
2007,abr_nmp,abr_nmp,billions of us dollars (USD),3.87
2007,abr_nmp,basicsupply,billions of us dollars (USD),6.2
2007,abr_nmp,cut_mch,billions of us dollars (USD),0.015
2007,abr_nmp,duties,billions of us dollars (USD),0.006
2007,abr_nmp,imports,billions of us dollars (USD),2.077
2007,abr_nmp,margins,billions of us dollars (USD),0.932
2007,abr_nmp,mct_mch,billions of us dollars (USD),0.04
2007,abr_nmp,och_che,billions of us dollars (USD),0.006
2007,abr_nmp,omf_fmt,billions of us dollars (USD),0.006
2007,abr_nmp,omm_mmf,billions of us dollars (USD),0.004
2007,abr_nmp,oth_pet,billions of us dollars (USD),0.007
2007,abr_nmp,output,billions of us dollars (USD),4.123
2007,abr_nmp,ppb_ppd,billions of us dollars (USD),0.175
2007,abr_nmp,supply,billions of us dollars (USD),7.91
2007,abr_nmp,tax,billions of us dollars (USD),0.041
2007,abr_nmp,taxlessubsidies,billions of us dollars (USD),0.047
2007,abr_nmp,trdtrn,billions of us dollars (USD),1.663
2007,abr_nmp,trncost,billions of us dollars (USD),0.731
2007,acc_tsv,acc_tsv,billions of us dollars (USD),127.271
2007,acc_tsv,basicsupply,billions of us dollars (USD),130.664
2007,acc_tsv,emp_adm,billions of us dollars (USD),0.276
2007,acc_tsv,fac_adm,billions of us dollars (USD),0.015
2007,acc_tsv,imports,billions of us dollars (USD),1.893
2007,acc_tsv,mgt_tsv,billions of us dollars (USD),0.891
2007,acc_tsv,off_adm,billions of us dollars (USD),0.302
2007,acc_tsv,output,billions of us dollars (USD),128.771
2007,acc_tsv,supply,billions of us dollars (USD),130.809
2007,acc_tsv,tax,billions of us dollars (USD),0.145
2007,acc_tsv,taxlessubsidies,billions of us dollars (USD),0.145
2007,acc_tsv,uni_edu,billions of us dollars (USD),0.016
2007,acn_mch,acn_mch,billions of us dollars (USD),28.501
2007,acn_mch,aec_cep,billions of us dollars (USD),0.037
2007,acn_mch,air_mch,billions of us dollars (USD),0.056
2007,acn_mch,ali_cep,billions of us dollars (USD),0.002
2007,acn_mch,basicsupply,billions of us dollars (USD),36.287
2007,acn_mch,duties,billions of us dollars (USD),0.01
2007,acn_mch,hea_mch,billions of us dollars (USD),0.039
2007,acn_mch,hle_eec,billions of us dollars (USD),0.022
2007,acn_mch,hrf_eec,billions of us dollars (USD),0.09
2007,acn_mch,ifm_fpd,billions of us dollars (USD),0.001
2007,acn_mch,imports,billions of us dollars (USD),6.809
2007,acn_mch,ipv_cep,billions of us dollars (USD),0.075
2007,acn_mch,margins,billions of us dollars (USD),14.104
2007,acn_mch,mat_mch,billions of us dollars (USD),0.068
2007,acn_mch,oec_cep,billions of us dollars (USD),0.001
2007,acn_mch,oee_mch,billions of us dollars (USD),0.027
2007,acn_mch,ofp_fpd,billions of us dollars (USD),0.007
2007,acn_mch,omh_eec,billions of us dollars (USD),0.007
2007,acn_mch,omv_mot,billions of us dollars (USD),0.138
2007,acn_mch,opm_pla,billions of us dollars (USD),0.029
2007,acn_mch,orn_fmt,billions of us dollars (USD),0.045
2007,acn_mch,oti_mch,billions of us dollars (USD),0.127
2007,acn_mch,output,billions of us dollars (USD),29.478
2007,acn_mch,ppe_mch,billions of us dollars (USD),0.039
2007,acn_mch,pwr_fmt,billions of us dollars (USD),0.058
2007,acn_mch,sas_mmf,billions of us dollars (USD),0.014
2007,acn_mch,shv_fpd,billions of us dollars (USD),0.036
2007,acn_mch,supply,billions of us dollars (USD),52.417
2007,acn_mch,tax,billions of us dollars (USD),1.274
2007,acn_mch,taxlessubsidies,billions of us dollars (USD),1.284
2007,acn_mch,trdtrn,billions of us dollars (USD),14.846
2007,acn_mch,trncost,billions of us dollars (USD),0.742
2007,acn_mch,vlv_fmt,billions of us dollars (USD),0.057
2007,acn_mch,wcm_cep,billions of us dollars (USD),0.001
2007,adh_che,adh_che,billions of us dollars (USD),9.355
2007,adh_che,basicsupply,billions of us dollars (USD),10.637
2007,adh_che,brk_mot,billions of us dollars (USD),0.027
2007,adh_che,cbn_eec,billions of us dollars (USD),0.013
2007,adh_che,con_mch,billions of us dollars (USD),0.002
2007,adh_che,ctm_cep,billions of us dollars (USD),0.111
2007,adh_che,duties,billions of us dollars (USD),0.007
2007,adh_che,fml_tex,billions of us dollars (USD),0.026
2007,adh_che,imports,billions of us dollars (USD),0.525
2007,adh_che,margins,billions of us dollars (USD),1.39
2007,adh_che,mnm_nmp,billions of us dollars (USD),0.01
2007,adh_che,obo_che,billions of us dollars (USD),0.002
2007,adh_che,och_che,billions of us dollars (USD),0.052
2007,adh_che,oci_mch,billions of us dollars (USD),0.004
2007,adh_che,omm_mmf,billions of us dollars (USD),0.064
2007,adh_che,opm_pla,billions of us dollars (USD),0.003
2007,adh_che,orb_pla,billions of us dollars (USD),0.006
2007,adh_che,orn_fmt,billions of us dollars (USD),0.005
2007,adh_che,output,billions of us dollars (USD),10.112
2007,adh_che,phm_che,billions of us dollars (USD),0.004
2007,adh_che,plm_pla,billions of us dollars (USD),0.001
2007,adh_che,pmr_che,billions of us dollars (USD),0.25
2007,adh_che,pnt_che,billions of us dollars (USD),0.048
2007,adh_che,ppb_ppd,billions of us dollars (USD),0.094
2007,adh_che,sdp_che,billions of us dollars (USD),0.005
2007,adh_che,shn_pet,billions of us dollars (USD),0.001
2007,adh_che,sop_che,billions of us dollars (USD),0.003
2007,adh_che,srf_che,billions of us dollars (USD),0.001
2007,adh_che,supply,billions of us dollars (USD),12.444
2007,adh_che,tax,billions of us dollars (USD),0.14
2007,adh_che,taxlessubsidies,billions of us dollars (USD),0.148
2007,adh_che,toi_che,billions of us dollars (USD),0.027
2007,adh_che,trdtrn,billions of us dollars (USD),1.659
2007,adh_che,trncost,billions of us dollars (USD),0.269
2007,adv_tsv,adv_tsv,billions of us dollars (USD),127.55
2007,adv_tsv,agt_art,billions of us dollars (USD),0.755
2007,adv_tsv,amu_rec,billions of us dollars (USD),0.15
2007,adv_tsv,basicsupply,billions of us dollars (USD),341.5
2007,adv_tsv,bok_pub,billions of us dollars (USD),0.359
2007,adv_tsv,bsp_adm,billions of us dollars (USD),0.044
2007,adv_tsv,cbl_brd,billions of us dollars (USD),19.94
2007,adv_tsv,ceh_fmt,billions of us dollars (USD),0.044
2007,adv_tsv,civ_osv,billions of us dollars (USD),0.738
2007,adv_tsv,cut_fmt,billions of us dollars (USD),0.017
2007,adv_tsv,ele_wht,billions of us dollars (USD),0.082
2007,adv_tsv,emp_adm,billions of us dollars (USD),0.006
2007,adv_tsv,fom_pla,billions of us dollars (USD),0.029
2007,adv_tsv,grd_grd,billions of us dollars (USD),0.02
2007,adv_tsv,grt_osv,billions of us dollars (USD),0.011
2007,adv_tsv,imports,billions of us dollars (USD),4.67
2007,adv_tsv,ind_art,billions of us dollars (USD),0.012
2007,adv_tsv,int_dat,billions of us dollars (USD),19.144
2007,adv_tsv,mal_pub,billions of us dollars (USD),15.635
2007,adv_tsv,mch_wht,billions of us dollars (USD),0.001
2007,adv_tsv,mmo_cep,billions of us dollars (USD),0.006
2007,adv_tsv,mus_art,billions of us dollars (USD),0.011
2007,adv_tsv,ndg_wht,billions of us dollars (USD),0.337
2007,adv_tsv,new_dat,billions of us dollars (USD),0.189
2007,adv_tsv,new_pub,billions of us dollars (USD),35.5
2007,adv_tsv,odg_wht,billions of us dollars (USD),0.047
2007,adv_tsv,oec_cep,billions of us dollars (USD),0.002
2007,adv_tsv,off_fpd,billions of us dollars (USD),0.021
2007,adv_tsv,omm_mmf,billions of us dollars (USD),0.019
2007,adv_tsv,opm_pla,billions of us dollars (USD),0.039
2007,adv_tsv,opp_ppd,billions of us dollars (USD),0.002
2007,adv_tsv,oss_adm,billions of us dollars (USD),2.92
2007,adv_tsv,otp_tex,billions of us dollars (USD),0.004
2007,adv_tsv,output,billions of us dollars (USD),336.83
2007,adv_tsv,pbc_ppd,billions of us dollars (USD),0.03
2007,adv_tsv,pce_wht,billions of us dollars (USD),0.004
2007,adv_tsv,pdl_pub,billions of us dollars (USD),22.324
2007,adv_tsv,pfm_art,billions of us dollars (USD),0.041
2007,adv_tsv,pic_mov,billions of us dollars (USD),0.124
2007,adv_tsv,plm_pla,billions of us dollars (USD),0.011
2007,adv_tsv,ppb_ppd,billions of us dollars (USD),0.021
