yr,g,s,units,value
1997,adm,adm,billions of us dollars (USD),298.01
1997,adm,basicsupply,billions of us dollars (USD),307.858
1997,adm,com,billions of us dollars (USD),1.63
1997,adm,dat,billions of us dollars (USD),0.099
1997,adm,fbt,billions of us dollars (USD),0.077
1997,adm,gmt,billions of us dollars (USD),0.093
1997,adm,imports,billions of us dollars (USD),0.529
1997,adm,osv,billions of us dollars (USD),0.023
1997,adm,otr,billions of us dollars (USD),0.055
1997,adm,ott,billions of us dollars (USD),1.612
1997,adm,output,billions of us dollars (USD),307.329
1997,adm,pri,billions of us dollars (USD),0.711
1997,adm,pub,billions of us dollars (USD),0.558
1997,adm,slg,billions of us dollars (USD),3.376
1997,adm,supply,billions of us dollars (USD),310.268
1997,adm,tax,billions of us dollars (USD),2.41
1997,adm,taxlessubsidies,billions of us dollars (USD),2.41
1997,adm,tsv,billions of us dollars (USD),0.944
1997,adm,wht,billions of us dollars (USD),0.141
1997,agr,agr,billions of us dollars (USD),219.681
1997,agr,basicsupply,billions of us dollars (USD),235.468
1997,agr,duties,billions of us dollars (USD),0.072
1997,agr,fof,billions of us dollars (USD),0.047
1997,agr,imports,billions of us dollars (USD),15.297
1997,agr,margins,billions of us dollars (USD),37.066
1997,agr,ott,billions of us dollars (USD),0.167
1997,agr,output,billions of us dollars (USD),220.171
1997,agr,slg,billions of us dollars (USD),0.277
1997,agr,subsidies,billions of us dollars (USD),-6.357
1997,agr,supply,billions of us dollars (USD),288.669
1997,agr,tax,billions of us dollars (USD),2.276
1997,agr,taxlessubsidies,billions of us dollars (USD),-4.008
1997,agr,trdtrn,billions of us dollars (USD),57.21
1997,agr,trncost,billions of us dollars (USD),20.144
1997,air,air,billions of us dollars (USD),106.366
1997,air,basicsupply,billions of us dollars (USD),123.263
1997,air,ciffob,billions of us dollars (USD),-0.933
1997,air,imports,billions of us dollars (USD),17.72
1997,air,otr,billions of us dollars (USD),0.109
1997,air,output,billions of us dollars (USD),106.476
1997,air,subsidies,billions of us dollars (USD),-0.02
1997,air,supply,billions of us dollars (USD),123.683
1997,air,tax,billions of us dollars (USD),6.712
1997,air,taxlessubsidies,billions of us dollars (USD),6.692
