from_units,factor,operation,by_units,units
billion kilowatthours,0.001,*,us dollars (USD) per thousand kilowatthour,billions of us dollars (USD)
billions of us dollars (USD),1000.0,/,billion kilowatthours,us dollars (USD) per thousand kilowatthour
billions of us dollars (USD),1000.0,/,trillion btu,us dollars (USD) per million btu
kilograms CO2 per million btu,0.001,*,trillion btu,million metric tons of carbon dioxide
trillion btu,0.001,*,kilograms CO2 per million btu,million metric tons of carbon dioxide
trillion btu,0.001,*,us dollars (USD) per million btu,billions of us dollars (USD)
trillion btu,1000.0,/,btu per kilowatthour,billion kilowatthours
us dollars (USD) per barrel,1.0,/,million btu per barrel,us dollars (USD) per million btu
us dollars (USD) per million btu,0.001,*,trillion btu,billions of us dollars (USD)
us dollars (USD) per thousand kilowatthour,0.001,*,billion kilowatthours,billions of us dollars (USD)
