summary,detail,naics,bea_summary,bea_detail,si,sctg
adm,bsp_adm,5614,561,561400,,
adm,dwe_adm,5617,561,561700,,
adm,emp_adm,5613,561,561300,,
adm,fac_adm,5612,561,561200,,
adm,inv_adm,5616,561,561600,,
adm,off_adm,5611,561,561100,,
adm,oss_adm,5619,561,561900,,
adm,trv_adm,5615,561,561500,,
adm,,561,,,66,
agr,bef_agr,11211,111CA,1121A0,,
agr,bef_agr,11213,111CA,1121A0,,
agr,dry_agr,11212,111CA,112120,,
agr,egg_agr,1123,111CA,112300,,
agr,flo_agr,1114,111CA,111400,,
agr,grn_agr,11113,111CA,1111B0,,
agr,grn_agr,11114,111CA,1111B0,,
agr,grn_agr,11115,111CA,1111B0,,
agr,grn_agr,11116,111CA,1111B0,,
agr,grn_agr,11119,111CA,1111B0,,
agr,nut_agr,1113,111CA,111300,,
agr,oil_agr,11111,111CA,1111A0,,
agr,oil_agr,11112,111CA,1111A0,,
agr,ota_agr,1122,111CA,112A00,,
agr,ota_agr,1124,111CA,112A00,,
agr,ota_agr,1125,111CA,112A00,,
agr,ota_agr,1129,111CA,112A00,,
agr,oth_agr,1119,111CA,111900,,
agr,veg_agr,1112,111CA,111200,,
agr,,111,,,4,2
agr,,111,,,4,3
agr,,112,,,4,1
agr,,311,,,,4
agr,,311,,,,5
air,air_air,481,481,481000,37,
alt,app_alt,315,315AL,315000,28,30
alt,lea_alt,316,315AL,316000,28,
alt,,313,,,,30
alt,,314,,,,30
amb,dnt_amb,6212,621,621200,,
amb,hom_amb,6216,621,621600,,
amb,lab_amb,6215,621,621500,,
amb,oas_amb,6219,621,621900,,
amb,ohp_amb,6213,621,621300,,
amb,out_amb,6214,621,621400,,
amb,phy_amb,6211,621,621100,,
amb,,621,,,71,
amd,amd_amd,721,721,721000,,
amd,,72,,,79,
art,agt_art,7113,711AS,711A00,,
art,agt_art,7114,711AS,711A00,,
art,ind_art,7115,711AS,711500,,
art,mus_art,712,711AS,712000,,
art,pfm_art,7111,711AS,711100,,
art,spr_art,7112,711AS,711200,,
art,,71,,,76,
basicsupply,basicsupply,,T013,T013,,
basicsupply,basicsupply,,T013,,,
basicvalueadded,basicvalueadded,,VABAS,VABAS,,
basicvalueadded,basicvalueadded,,VABAS,,,
bnk,cre_bnk,5222,521CI,522A00,,
bnk,cre_bnk,5223,521CI,522A00,,
bnk,mon_bnk,521,521CI,52A000,52,
bnk,mon_bnk,5221,521CI,52A000,,
bnk,,522,,,52,
brd,cbl_brd,5152,513,515200,,
brd,rad_brd,5151,513,515100,,
brd,sat_brd,5174,513,517A00,,
brd,sat_brd,5175,513,517A00,,
brd,sat_brd,5176,513,517A00,,
brd,sat_brd,5177,513,517A00,,
brd,sat_brd,5178,513,517A00,,
brd,sat_brd,5179,513,517A00,,
brd,wls_brd,5172,513,517210,,
brd,wtl_brd,5171,513,517110,,
brd,,515,,,48,
brd,,517,,,48,
cep,aec_cep,334512,334,334512,,
cep,ali_cep,334516,334,334516,,
cep,aud_cep,3343,334,334300,,
cep,brd_cep,33422,334,334220,,
cep,csd_cep,334112,334,334112,,
cep,ctm_cep,334118,334,334118,,
cep,ecm_cep,334111,334,334111,,
cep,eea_cep,334510,334,334510,,
cep,els_cep,334515,334,334515,,
cep,ipv_cep,334513,334,334513,,
cep,irr_cep,334517,334,334517,,
cep,mmo_cep,33461,334,334610,,
cep,oce_cep,33429,334,334290,,
cep,oec_cep,334412,334,33441A,,
cep,oec_cep,334416,334,33441A,,
cep,oec_cep,334417,334,33441A,,
cep,oec_cep,334419,334,33441A,,
cep,prc_cep,334418,334,334418,,
cep,sdn_cep,334511,334,334511,,
cep,sem_cep,334413,334,334413,,
cep,tel_cep,33421,334,334210,,
cep,tfl_cep,334514,334,334514,,
cep,wcm_cep,334519,334,33451A,,
cep,,334,,,19,35
cep,,335,,,,35
changinv,changinv,,F030,,,
changinv,changinv,,F03000,F03000,,
che,adh_che,32552,325,325520,,
che,bio_che,325414,325,325414,,
che,fmf_che,32531,325,325310,,
che,igm_che,32512,325,325120,,
che,inv_che,325413,325,325413,,
che,mbm_che,325411,325,325411,,
che,obi_che,32518,325,325180,,
che,obo_che,32519,325,325190,,
che,och_che,32592,325,3259A0,,
che,och_che,32599,325,3259A0,,
che,pag_che,32532,325,325320,,
che,phm_che,325412,325,325412,,
che,pmr_che,325211,325,325211,,
che,pnt_che,32551,325,325510,,
che,pri_che,32591,325,325910,,
che,ptr_che,32511,325,325110,,
che,sdp_che,32513,325,325130,,
che,sop_che,32561,325,325610,,
che,srf_che,325212,325,3252A0,,
che,srf_che,32522,325,3252A0,,
che,toi_che,32562,325,325620,,
che,,325,,,32,20
che,,325,,,32,21
che,,325,,,32,22
che,,325,,,32,23
ciffob,ciffob,,MADJ,MADJ,,
ciffob,ciffob,,MADJ,,,
com,cus_com,541511,5415,541511,,
com,ocs_com,541513,5415,54151A,,
com,ocs_com,541519,5415,54151A,,
com,sys_com,541512,5415,541512,,
com,,5415,,,62,
compen,compen,,V001,,,
compen,compen,,V00100,V00100,,
con,edu_con,23,23,233262,11,
con,hcs_con,23,23,233210,11,
con,mfs_con,23,23,233230,11,
con,mrs_con,23,23,233412,11,
con,nmr_con,23,23,230301,11,
con,off_con,23,23,2332A0,11,
con,ons_con,23,23,2332D0,11,
con,ors_con,23,23,2334A0,11,
con,pwr_con,23,23,233240,11,
con,rmr_con,23,23,230302,11,
con,srs_con,23,23,233411,11,
con,trn_con,23,23,2332C0,11,
dat,dpr_dat,5182,514,518200,,
dat,int_dat,51913,514,519130,,
dat,new_dat,51911,514,5191A0,,
dat,new_dat,51912,514,5191A0,,
dat,new_dat,51919,514,5191A0,,
dat,,518,,,49,
dat,,519,,,49,
def_equipment,def_equipment,,F06E,,,
def_equipment,def_equipment,,F06E00,F06E00,,
def_intelprop,def_intelprop,,F06N,,,
def_intelprop,def_intelprop,,F06N00,F06N00,,
def_structures,def_structures,,F06S,,,
def_structures,def_structures,,F06S00,F06S00,,
defense,defense,,F06C,,,
defense,defense,,F06C00,F06C00,,
duties,duties,,MDTY,MDTY,,
duties,duties,,MDTY,,,
edu,oes_edu,6114,61,611B00,,
edu,oes_edu,6115,61,611B00,,
edu,oes_edu,6116,61,611B00,,
edu,oes_edu,6117,61,611B00,,
edu,sec_edu,6111,61,611100,,
edu,uni_edu,6112,61,611A00,,
edu,uni_edu,6113,61,611A00,,
edu,,61,,,69,
eec,cbn_eec,335991,335,335991,,
eec,cme_eec,33592,335,335920,,
eec,elb_eec,33511,335,335110,,
eec,hca_eec,335221,335,335221,,
eec,hle_eec,335224,335,335224,,
eec,hrf_eec,335222,335,335222,,
eec,ltf_eec,33512,335,335120,,
eec,mtg_eec,335312,335,335312,,
eec,oee_eec,335999,335,335999,,
eec,omh_eec,335228,335,335228,,
eec,pbt_eec,335912,335,335912,,
eec,pwr_eec,335311,335,335311,,
eec,ric_eec,335314,335,335314,,
eec,sbt_eec,335911,335,335911,,
