summary,detail,summary_desc,detail_desc
adm,bsp_adm,Administrative and support services,Business support services
adm,dwe_adm,Administrative and support services,Services to buildings and dwellings
adm,emp_adm,Administrative and support services,Employment services
adm,fac_adm,Administrative and support services,Facilities support services
adm,inv_adm,Administrative and support services,Investigation and security services
adm,off_adm,Administrative and support services,Office administrative services
adm,oss_adm,Administrative and support services,Other support services
adm,trv_adm,Administrative and support services,Travel arrangement and reservation services
agr,bef_agr,Farms,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming"
agr,dry_agr,Farms,Dairy cattle and milk production
agr,egg_agr,Farms,Poultry and egg production
agr,flo_agr,Farms,"Greenhouse, nursery, and floriculture production"
agr,grn_agr,Farms,Grain farming
agr,nut_agr,Farms,Fruit and tree nut farming
agr,oil_agr,Farms,Oilseed farming
agr,ota_agr,Farms,"Animal production, except cattle and poultry and eggs"
agr,oth_agr,Farms,Other crop farming
agr,veg_agr,Farms,Vegetable and melon farming
air,air_air,Air transportation,Air transportation
alt,app_alt,Apparel and leather and allied products,Apparel manufacturing
alt,lea_alt,Apparel and leather and allied products,Leather and allied product manufacturing
amb,dnt_amb,Ambulatory health care services,Offices of dentists
amb,hom_amb,Ambulatory health care services,Home health care services
amb,lab_amb,Ambulatory health care services,Medical and diagnostic laboratories
amb,oas_amb,Ambulatory health care services,Other ambulatory health care services
amb,ohp_amb,Ambulatory health care services,Offices of other health practitioners
amb,out_amb,Ambulatory health care services,Outpatient care centers
amb,phy_amb,Ambulatory health care services,Offices of physicians
amd,amd_amd,Accommodation,Accommodation
art,agt_art,"Performing arts, spectator sports, museums, and related activities",Promoters of performing arts and sports and agents for public figures
art,ind_art,"Performing arts, spectator sports, museums, and related activities","Independent artists, writers, and performers"
art,mus_art,"Performing arts, spectator sports, museums, and related activities","Museums, historical sites, zoos, and parks"
art,pfm_art,"Performing arts, spectator sports, museums, and related activities",Performing arts companies
art,spr_art,"Performing arts, spectator sports, museums, and related activities",Spectator sports
bnk,cre_bnk,"Federal Reserve banks, credit intermediation, and related activities",Nondepository credit intermediation and related activities
bnk,mon_bnk,"Federal Reserve banks, credit intermediation, and related activities",Monetary authorities and depository credit intermediation
brd,cbl_brd,Broadcasting and telecommunications,Cable and other subscription programming
brd,rad_brd,Broadcasting and telecommunications,Radio and television broadcasting
brd,sat_brd,Broadcasting and telecommunications,"Satellite, telecommunications resellers, and all other telecommunications"
brd,wls_brd,Broadcasting and telecommunications,Wireless telecommunications carriers (except satellite)
brd,wtl_brd,Broadcasting and telecommunications,Wired telecommunications carriers
cep,aec_cep,Computer and electronic products,Automatic environmental control manufacturing
cep,ali_cep,Computer and electronic products,Analytical laboratory instrument manufacturing
cep,aud_cep,Computer and electronic products,Audio and video equipment manufacturing
cep,brd_cep,Computer and electronic products,Broadcast and wireless communications equipment
cep,csd_cep,Computer and electronic products,Computer storage device manufacturing
cep,ctm_cep,Computer and electronic products,Computer terminals and other computer peripheral equipment manufacturing
cep,ecm_cep,Computer and electronic products,Electronic computer manufacturing
cep,eea_cep,Computer and electronic products,Electromedical and electrotherapeutic apparatus manufacturing
