region,division,state,region_desc,division_desc,state_desc
mid,enc,il,midwest,east north central,illinois
mid,enc,in,midwest,east north central,indiana
mid,enc,mi,midwest,east north central,michigan
mid,enc,oh,midwest,east north central,ohio
mid,enc,wi,midwest,east north central,wisconsin
mid,wnc,ia,midwest,west north central,iowa
mid,wnc,ks,midwest,west north central,kansas
mid,wnc,mn,midwest,west north central,minnesota
mid,wnc,mo,midwest,west north central,missouri
mid,wnc,nd,midwest,west north central,north dakota
mid,wnc,ne,midwest,west north central,nebraska
mid,wnc,sd,midwest,west north central,south dakota
nor,mat,nj,northeast,middle atlantic,new jersey
nor,mat,ny,northeast,middle atlantic,new york
nor,mat,pa,northeast,middle atlantic,pennsylvania
nor,nen,ct,northeast,new england,connecticut
nor,nen,ma,northeast,new england,massachusetts
nor,nen,me,northeast,new england,maine
nor,nen,nh,northeast,new england,new hampshire
nor,nen,ri,northeast,new england,rhode island
nor,nen,vt,northeast,new england,vermont
sou,esc,al,south,east south central,alabama
sou,esc,ky,south,east south central,kentucky
sou,esc,ms,south,east south central,mississippi
sou,esc,tn,south,east south central,tennessee
sou,sat,dc,south,south atlantic,district of columbia
sou,sat,de,south,south atlantic,delaware
sou,sat,fl,south,south atlantic,florida
sou,sat,ga,south,south atlantic,georgia
sou,sat,md,south,south atlantic,maryland
sou,sat,nc,south,south atlantic,north carolina
sou,sat,sc,south,south atlantic,south carolina
sou,sat,va,south,south atlantic,virginia
sou,sat,wv,south,south atlantic,west virginia
sou,wsc,ar,south,west south central,arkansas
sou,wsc,la,south,west south central,louisiana
sou,wsc,ok,south,west south central,oklahoma
sou,wsc,tx,south,west south central,texas
wes,mnt,az,west,mountain,arizona
wes,mnt,co,west,mountain,colorado
wes,mnt,id,west,mountain,idaho
wes,mnt,mt,west,mountain,montana
wes,mnt,nm,west,mountain,new mexico
wes,mnt,nv,west,mountain,nevada
wes,mnt,ut,west,mountain,utah
wes,mnt,wy,west,mountain,wyoming
wes,pac,ak,west,pacific,alaska
wes,pac,ca,west,pacific,california
wes,pac,hi,west,pacific,hawaii
wes,pac,or,west,pacific,oregon
wes,pac,wa,west,pacific,washington
